"source.object.format","source.object.formatType"
"disc,Edison Diamond Disc","audio grooved disc"
"disc,Edison Voicewriter","audio grooved disc"
"disc,flexible","audio grooved disc"
"disc,gelatin","audio grooved disc"
"disc,lacquer,glass base","audio grooved disc"
"disc,lacquer,metal base","audio grooved disc"
"disc,lacquer,paper base","audio grooved disc"
"disc,metal","audio grooved disc"
"disc,metal master","audio grooved disc"
"disc,other","audio grooved disc"
"disc,shellac","audio grooved disc"
"disc,vinyl","audio grooved disc"
"disc,Gray Audograph","audio grooved disc"
"cylinder","audio grooved cylinder"
"cylinder,black wax","audio grooved cylinder"
"cylinder,brown wax","audio grooved cylinder"
"cylinder,celluloid","audio grooved cylinder"
"Audio CD-R","audio optical disc"
"Audio CD,pressed","audio optical disc"
"Minidisc","audio optical disc"
"unknown","audio optical disc"
"half-inch open-reel audio","audio reel analog"
"one-inch open-reel audio","audio reel analog"
"quarter-inch open-reel audio","audio reel analog"
"two-inch open-reel audio","audio reel analog"
"unknown","audio reel analog"
"ProDigi","audio reel digital"
"DASH","audio reel digital"
"NAGRA-D","audio reel digital"
"8-track","audio cassette analog"
"Compact cassette","audio cassette analog"
"Microcassette","audio cassette analog"
"Minicassette","audio cassette analog"
"audio cassette,other","audio cassette analog"
"unknown","audio cassette analog"
"ADAT","audio cassette digital"
"DAT","audio cassette digital"
"DA-88","audio cassette digital"
"Digital Compact Cassette","audio cassette digital"
"Betamax/PCM","audio cassette digital"
"U-matic/PCM","audio cassette digital"
"Other cartridge","audio cassette digital"
"unknown","audio cassette digital"
"audio magnetic wire","audio magnetic wire"
"Blu-Ray","video optical disc"
"Laser Disc","video optical disc"
"VCD","video optical disc"
"Video DVD-R","video optical disc"
"Video DVD,pressed","video optical disc"
"Video DVD+R","video optical disc"
"Video DVD+RW","video optical disc"
"unknown","video optical disc"
"Betacam SX","video cassette digital"
"D-1","video cassette digital"
"D-2","video cassette digital"
"D-3","video cassette digital"
"D-5","video cassette digital"
"Digital Betacam","video cassette digital"
"Digital8","video cassette digital"
"DVCam","video cassette digital"
"DVCPRO","video cassette digital"
"DVCPRO 50","video cassette digital"
"DVCPRO HD","video cassette digital"
"HDCAM","video cassette digital"
"HDCAM SR","video cassette digital"
"HDV","video cassette digital"
"MII","video cassette digital"
"MiniDV","video cassette digital"
"MPEG IMX","video cassette digital"
"Betacam","video cassette analog"
"Betacam SP","video cassette analog"
"Betamax","video cassette analog"
"Hi8","video cassette analog"
"S-VHS","video cassette analog"
"S-VHS-C","video cassette analog"
"U-matic","video cassette analog"
"VHS","video cassette analog"
"VHS-C","video cassette analog"
"Video8","video cassette analog"
"unknown","video cassette analog"
"one-inch open-reel video Type A","video reel"
"one-inch open-reel video Type C","video reel"
"half-inch open-reel video CV","video reel"
"half-inch open-reel video EIAJ/AV","video reel"
"half-inch open-reel video other","video reel"
"two-inch open-reel video Quadruplex","video reel"
"unknown","video reel"
